"","SERIALNO","PUMA","PWGTP","AGEP","SEX","WAGP"
429,2011000288001,2100,8,5,2,0
430,2011000288001,2100,8,3,1,0
431,2011000290930,2100,8,34,1,14000
432,2011000290930,2100,13,35,2,0
433,2011000291899,2100,14,29,2,50000
434,2011000291899,2100,19,29,1,122000
435,2011000291899,2100,31,0,2,0
436,2011000292835,2100,19,38,1,65000
437,2011000292835,2100,23,37,2,42000
438,2011000292835,2100,21,15,1,0
439,2011000294489,2100,5,85,1,0
440,2011000294489,2100,4,83,2,0
441,2011000294711,2100,6,66,2,0
442,2011000294711,2100,6,68,1,0
443,2011000295000,2100,20,35,1,0
444,2011000295450,2100,26,62,1,80000
445,2011000295450,2100,27,63,2,240
446,2011000296628,2100,24,56,2,25500
447,2011000298306,2100,3,46,1,150000
448,2011000298306,2100,3,45,2,0
449,2011000298306,2100,3,17,2,0
450,2011000298551,2100,21,49,1,41000
451,2011000298551,2100,17,54,2,53000
452,2011000298551,2100,20,17,1,1400
453,2011000299214,2100,22,64,2,40000
454,2011000300335,2100,12,60,2,0
455,2011000300653,2100,18,24,2,1000
456,2011000300653,2100,17,23,1,12000
457,2011000306956,2100,13,58,2,2400
458,2011000307775,2100,22,71,2,0
459,2011000309019,2100,21,62,1,0
460,2011000309019,2100,21,63,2,54000
461,2011000310164,2100,4,59,1,27300
462,2011000310164,2100,5,27,2,0
463,2011000312979,2100,17,27,2,24600
464,2011000312979,2100,26,4,1,0
465,2011000312979,2100,23,1,2,0
466,2011000315272,2100,19,20,1,0
467,2011000318191,2100,8,49,1,90000
468,2011000318191,2100,9,46,2,400
469,2011000318191,2100,8,14,2,0
470,2011000318191,2100,8,10,2,0
471,2011000318191,2100,9,7,1,0
472,2011000318625,2100,12,65,1,0
473,2011000318625,2100,11,59,2,0
474,2011000318663,2100,6,24,2,22000
475,2011000318663,2100,9,23,2,20000
476,2011000318689,2100,19,76,2,37900
477,2011000320056,2100,16,20,1,600
478,2011000321936,2100,16,23,2,9000
479,2011000322710,2100,2,60,2,23000
480,2011000322710,2100,3,50,1,25000
481,2011000324359,2100,4,60,1,18000
482,2011000324359,2100,3,59,2,18000
483,2011000325690,2100,21,20,1,3000
484,2011000325882,2100,31,57,2,63000
485,2011000326404,2100,13,47,1,0
486,2011000326404,2100,13,45,2,15000
487,2011000326404,2100,17,17,2,1000
488,2011000326404,2100,18,15,2,0
489,2011000326404,2100,9,12,1,0
490,2011000331718,2100,23,19,1,0
491,2011000332766,2100,18,59,1,0
492,2011000333301,2100,10,22,1,12000
493,2011000334399,2100,18,94,2,0
494,2011000334746,2100,3,43,1,46000
495,2011000336685,2100,3,84,1,0
496,2011000336685,2100,5,45,1,10500
497,2011000339435,2100,12,60,2,10000
498,2011000339435,2100,13,57,1,40000
499,2011000339820,2100,55,21,1,1500
500,2011000339820,2100,80,20,1,500
501,2011000340088,2100,4,64,1,0
502,2011000340088,2100,4,64,2,0
503,2011000340238,2100,54,58,2,16000
504,2011000342806,2100,13,64,1,62000
505,2011000342806,2100,13,61,2,19000
506,2011000342953,2100,72,33,1,7000
507,2011000342953,2100,68,34,2,8000
508,2011000344420,2100,27,85,2,4200
509,2011000345262,2100,63,45,1,60000
510,2011000345406,2100,12,50,2,36000
511,2011000345583,2100,23,49,2,0
512,2011000346726,2100,9,18,1,1000
513,2011000348233,2100,25,29,1,19300
514,2011000351186,2100,13,21,2,0
515,2011000352401,2100,17,19,1,0
516,2011000352930,2100,10,18,1,0
517,2011000353423,2100,4,16,1,0
518,2011000354981,2100,12,62,2,70000
519,2011000354981,2100,14,72,1,0
520,2011000355207,2100,17,54,2,15000
521,2011000355207,2100,19,54,1,113000
522,2011000355207,2100,26,20,2,2000
523,2011000355207,2100,19,17,2,1000
524,2011000356572,2100,62,35,2,33000
525,2011000356572,2100,56,17,1,0
526,2011000356572,2100,57,14,2,0
527,2011000356998,2100,22,55,1,8500
528,2011000358427,2100,22,20,2,300
529,2011000360797,2100,28,40,2,102000
530,2011000360797,2100,26,50,1,1e+05
531,2011000360797,2100,27,11,1,0
532,2011000360797,2100,26,6,2,0
533,2011000363054,2100,7,50,1,72000
534,2011000363054,2100,7,46,2,45000
535,2011000363054,2100,9,23,2,3200
536,2011000363054,2100,7,16,1,400
537,2011000364511,2100,13,65,1,27000
538,2011000364837,2100,1,20,1,2000
539,2011000365617,2100,40,65,2,0
540,2011000365617,2100,66,48,1,20000
541,2011000365617,2100,65,44,1,16500
542,2011000365995,2100,23,54,2,0
543,2011000367062,2100,13,44,1,75000
544,2011000367062,2100,10,27,2,0
545,2011000367062,2100,14,4,1,0
546,2011000367062,2100,20,2,2,0
547,2011000368149,2100,5,47,2,23000
548,2011000370385,2100,17,19,2,2500
549,2011000371059,2100,5,50,2,10700
550,2011000371059,2100,5,15,1,0
551,2011000371818,2100,12,28,1,8700
552,2011000371818,2100,13,30,2,40000
553,2011000372297,2100,5,20,2,0
554,2011000377452,2100,4,71,1,10400
555,2011000377452,2100,4,71,2,0
556,2011000377760,2100,4,77,2,0
557,2011000377760,2100,4,78,1,0
558,2011000377760,2100,7,59,1,0
559,2011000381707,2100,111,31,1,14000
560,2011000381707,2100,46,7,2,0
561,2011000381707,2100,49,25,2,14000
562,2011000382546,2100,15,20,1,2000
563,2011000382725,2100,12,67,1,399000
564,2011000382725,2100,11,61,2,0
565,2011000383486,2100,11,40,2,5000
566,2011000383486,2100,12,44,1,50000
567,2011000383486,2100,11,16,2,300
568,2011000383486,2100,11,15,1,0
569,2011000383486,2100,12,5,2,0
570,2011000383486,2100,12,3,1,0
571,2011000385708,2100,3,30,1,96000
572,2011000385708,2100,2,29,2,65000
573,2011000385708,2100,3,0,1,0
574,2011000388072,2100,28,18,2,0
575,2011000391643,2100,1,25,2,10000
576,2011000391643,2100,2,27,1,10300
577,2011000392255,2100,2,21,1,0
578,2011000394685,2100,32,28,1,8400
579,2011000395381,2100,18,54,1,25000
580,2011000395381,2100,17,50,2,25000
581,2011000396267,2100,3,88,1,0
582,2011000396267,2100,4,50,1,25000
583,2011000396786,2100,4,55,1,24000
584,2011000399613,2100,7,90,2,0
585,2011000399613,2100,10,40,1,61000
586,2011000401039,2100,16,57,1,0
587,2011000401039,2100,16,56,2,41600
588,2011000401498,2100,21,17,2,0
589,2011000402859,2100,14,22,2,2000
590,2011000404651,2100,10,19,2,3500
591,2011000404774,2100,14,54,2,40000
592,2011000404774,2100,20,23,2,20000
593,2011000405756,2100,24,74,2,4200
594,2011000410423,2100,24,76,1,0
595,2011000410608,2100,21,52,2,27000
596,2011000411929,2100,6,66,1,69000
597,2011000411929,2100,6,58,2,0
598,2011000413157,2100,15,19,2,1000
599,2011000413753,2100,19,20,1,0
600,2011000414052,2100,5,58,1,0
601,2011000414052,2100,3,58,2,0
602,2011000414052,2100,9,36,2,5000
603,2011000414052,2100,15,18,1,4600
604,2011000414052,2100,6,17,1,0
605,2011000414052,2100,6,14,2,0
606,2011000414315,2100,7,48,1,42000
